ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,Compartment,Treatment,ASV_Label,Condition,Label_full
ASV_958,7.6572418233796284,-22.44504007970768,4.272945941443959,-5.252825658759169,1.4978330375166524e-7,4.363959329753138e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,NA,B. oleracea,ed1ae188788174b0846a859012b3079a,Root,Caterpillar OS,ASV_958 (Comamonadaceae),B. oleracea-Root-Caterpillar OS,Comamonadaceae | ASV-958
ASV_706,3.9040714559908256,-21.581726606644928,4.167281276667939,-5.178850472003937,2.232573236265902e-7,1.957966728205196e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Variovorax,B. oleracea,47082eb92759c2179725fe69f11672c5,Soil,Caterpillar OS,ASV_706 (Comamonadaceae),B. oleracea-Soil-Caterpillar OS,Comamonadaceae | Variovorax_ASV-706
ASV_1130,3.090230283322075,-21.398391536453186,4.275124052504036,-5.005326459221615,5.576743554244128e-7,1.4532993702360197e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,B. oleracea,bcbf6016004074cb9ccbc4af2f2e4c47,Root,meJA 0.1mM,ASV_1130 (Diplorickettsiaceae),B. oleracea-Root-meJA 0.1mM,Diplorickettsiaceae | Rickettsiella_ASV-1130
ASV_1130,3.090230283322075,-21.302476693747494,4.275124052504035,-4.982890889743927,6.26412766640017e-7,6.621551421483003e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,B. oleracea,bcbf6016004074cb9ccbc4af2f2e4c47,Root,meJA 1mM,ASV_1130 (Diplorickettsiaceae),B. oleracea-Root-meJA 1mM,Diplorickettsiaceae | Rickettsiella_ASV-1130
ASV_1130,3.090230283322075,-21.675007873028992,4.275124052504036,-5.07003015744852,3.9775267133162417e-7,9.813043382714743e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,B. oleracea,bcbf6016004074cb9ccbc4af2f2e4c47,Root,Caterpillar OS,ASV_1130 (Diplorickettsiaceae),B. oleracea-Root-Caterpillar OS,Diplorickettsiaceae | Rickettsiella_ASV-1130
ASV_1540,6.529900272859421,-22.352545917858354,4.273202820287125,-5.230864730253184,1.6871893821556137e-7,7.03996065335617e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Methylophilaceae,Methylophilus,B. oleracea,78c93dc2877bbb6423314c4012908222,Root,meJA 0.1mM,ASV_1540 (Methylophilaceae),B. oleracea-Root-meJA 0.1mM,Methylophilaceae | Methylophilus_ASV-1540
ASV_1540,6.529900272859421,-22.28742067970588,4.273202820287126,-5.2156243494682375,1.8319911101421766e-7,2.6489039952802914e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Methylophilaceae,Methylophilus,B. oleracea,78c93dc2877bbb6423314c4012908222,Root,meJA 1mM,ASV_1540 (Methylophilaceae),B. oleracea-Root-meJA 1mM,Methylophilaceae | Methylophilus_ASV-1540
ASV_1540,6.529900272859421,-22.772660298086294,4.273202820287126,-5.329178430280113,9.865803458677632e-8,4.363959329753138e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Methylophilaceae,Methylophilus,B. oleracea,78c93dc2877bbb6423314c4012908222,Root,Caterpillar OS,ASV_1540 (Methylophilaceae),B. oleracea-Root-Caterpillar OS,Methylophilaceae | Methylophilus_ASV-1540
ASV_576,21.635669520915517,-24.10553721146287,3.9950069716636496,-6.033916181484046,1.6003309501320132e-9,9.41954797247703e-7,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,Micropepsaceae,uncultured,A. thaliana,5ffa9d3c12f2042b9b89f3ef5957c731,Root,meJA 0.1mM,ASV_576 (Micropepsaceae),A. thaliana-Root-meJA 0.1mM,Micropepsaceae | uncultured_ASV-576
ASV_1450,4.3634963739661545,-21.825420342145836,3.996878717471227,-5.4606161169570075,4.744850304238952e-8,9.974353175268026e-6,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,Micropepsaceae,uncultured,A. thaliana,096004e33d6cf3511c5a94fb3edbef19,Root,meJA 0.1mM,ASV_1450 (Micropepsaceae),A. thaliana-Root-meJA 0.1mM,Micropepsaceae | uncultured_ASV-1450
ASV_576,21.635669520915517,-23.4806922108422,3.9950069716636483,-5.877509695825159,4.164843287718715e-9,2.4319590090076756e-7,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,Micropepsaceae,uncultured,A. thaliana,5ffa9d3c12f2042b9b89f3ef5957c731,Root,meJA 1mM,ASV_576 (Micropepsaceae),A. thaliana-Root-meJA 1mM,Micropepsaceae | uncultured_ASV-576
ASV_1054,26.425075588319917,23.50020104775479,3.9952657347155207,5.882012013258012,4.053089152688467e-9,2.4319590090076756e-7,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,Micropepsaceae,uncultured,A. thaliana,0d9ec9e852eec9b4e9fb087cc39b538f,Root,meJA 1mM,ASV_1054 (Micropepsaceae),A. thaliana-Root-meJA 1mM,Micropepsaceae | uncultured_ASV-1054
ASV_1390,14.374079578261933,22.78502890602766,3.9958865760606046,5.702121036801442,1.1832575819530915e-8,4.5575817897986313e-007,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,Micropepsaceae,uncultured,A. thaliana,86114960d23d228b11af3936528394d2,Root,meJA 1mM,ASV_1390 (Micropepsaceae),A. thaliana-Root-meJA 1mM,Micropepsaceae | uncultured_ASV-1390
